SalePrice,YearBuilt,YearBuilt2,YrSold,Yrsold2,MonthSold,Size(sqf),Size2(sqf),Floor,Floor2,HallwayType,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_APT2,N_manager,N_elevators,N_manager2,N_elevators2,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(PublicOffice)2,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Elementary)2,N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),N_SchoolNearBy(Total)2
448672,2007,4028049,2007,4028049,9,1643,2699449,39,1521,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
371681,2007,4028049,2007,4028049,9,1387,1923769,38,1444,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
167964,2006,4024036,2007,4028049,9,903,815409,10,100,terraced,individual_heating,management_in_trust,123,181,5min~10min,0-5min,3,9,3,11,9,121,3,9,1,1,1,2,0,4,16,3,3,1,4,8,11,121
198230,2007,4028049,2007,4028049,9,868,753424,13,169,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
74336,1997,3988009,2007,4028049,10,644,414736,15,225,mixed,individual_heating,management_in_trust,82,56,5min~10min,15min~20min,1,1,2,4,4,16,7,49,1,2,1,1,1,4,16,0,0,3,5,13,7,49
46902,1985,3940225,2007,4028049,10,587,344569,5,25,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,1,2,2,4,4,5,25,1,2,1,2,1,2,4,1,1,0,3,12,4,16
61946,1985,3940225,2007,4028049,10,676,456976,7,49,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,1,2,2,4,4,5,25,1,2,1,2,1,2,4,1,1,0,3,12,4,16
292035,2006,4024036,2007,4028049,10,2056,4227136,2,4,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,36,5,11,25,121,1,1,1,0,1,0,0,2,4,2,1,2,5,3,7,49
221238,1993,3972049,2007,4028049,10,1761,3101121,15,225,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
38495,1992,3968064,2007,4028049,10,355,126025,13,169,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
